20240924	12:51:40	22ac89cd-d477-4231-a4f2-47907339b9ff	GET	 undefined	 /chain
20240924	12:51:40	38ab6175-ffe0-4bb8-a5cd-30e305b2fc08	GET	 undefined	 /chain
20240924	12:53:31	c5ef4e1e-b3f7-44a7-b2d4-9d3b8568b1fe	GET	 undefined	 /
20240924	12:53:31	42cfc50a-8353-4efa-9d90-643156479c79	GET	 undefined	 /css/style.css
20240924	12:53:32	3de27ad8-fb96-4743-9a51-9cea6c547d19	GET	 undefined	 /
20240924	12:57:17	13071128-ffc5-48ac-8c57-0edc25642ffd	GET	 undefined	 /
20240924	12:57:17	9b767e0b-192f-4a0d-a936-8490164ba1e6	GET	 undefined	 /css/style.css
20240924	12:57:18	ba673f27-8760-40c5-a3e0-c28377dc922e	GET	 undefined	 /
20240924	13:03:19	86cdc309-e3a4-43a4-af25-c6ab620577b1	OPTIONS	 undefined	 /
20240924	13:03:19	72f9bc60-2450-459b-abf6-6c16e2d943a0	GET	 undefined	 /
20240924	13:04:46	6243dd83-480f-4bca-9504-7e7eb7941eb4	OPTIONS	 undefined	 /
20240924	13:04:46	4c346cbf-f699-4a11-9676-cabc73209fc4	GET	 undefined	 /
20240924	13:15:56	57cd9ab7-b657-4d76-aa92-4f71fa7b8c33	OPTIONS	 undefined	 /
20240924	13:15:56	e33b53a1-6c70-4f07-8baa-dfc7f8f75a99	GET	 undefined	 /
20240924	13:16:18	40fff1d0-bc92-45c8-8915-4b95aefacb21	OPTIONS	 undefined	 /
20240924	13:16:18	8078b362-7f11-440e-b1b6-4c57d7eb0774	GET	 undefined	 /
20240924	13:16:34	a2b6351f-d6ab-471e-9ea2-936370539802	OPTIONS	 undefined	 /
20240924	13:16:34	51c10c02-8e0e-4b0a-805f-16de45618e83	GET	 undefined	 /
20240924	13:17:07	273b79c3-f9ee-49e4-a41d-74d021911f6f	OPTIONS	 undefined	 /
20240924	13:17:07	a8eb8643-4170-452c-8af0-7d77373dcfd3	GET	 undefined	 /
20240924	13:17:42	6e4d3a2b-0b32-4d16-9249-fe5a84a3a4de	OPTIONS	 undefined	 /
